Volume per Atom,Volume per Formula,Binding Potential Energy per Atom,Binding Potential Energy per Formula,Pressure Array
18.470173113996783,18.470173113996783,-3.5640011582246167,-3.5640011582246167,-0.14
18.123449766342492,18.123449766342492,-3.6118783509371952,-3.6118783509371952,-0.136
17.84482462696716,17.84482462696716,-3.649231493082221,-3.649231493082221,-0.132
17.609163183041336,17.609163183041336,-3.679879190404096,-3.679879190404096,-0.128
17.403570443405012,17.403570443405012,-3.705792408419471,-3.705792408419471,-0.124
17.220456725113593,17.220456725113593,-3.7281388251339616,-3.7281388251339616,-0.12
17.054886167000312,17.054886167000312,-3.747681362530642,-3.747681362530642,-0.116
16.903466711968132,16.903466711968132,-3.7649474421011555,-3.7649474421011555,-0.112
16.763743211402602,16.763743211402602,-3.780320589297365,-3.780320589297365,-0.108
16.633874509476755,16.633874509476755,-3.794089699035471,-3.794089699035471,-0.10400000000000001
16.512443643476956,16.512443643476956,-3.80647825714882,-3.80647825714882,-0.1
16.39832910611208,16.39832910611208,-3.8176637589189686,-3.8176637589189686,-0.096
16.29062886026779,16.29062886026779,-3.8277895879762682,-3.8277895879762682,-0.092
16.188606139307435,16.188606139307435,-3.836973414971695,-3.836973414971695,-0.088
16.09164803243428,16.09164803243428,-3.845313408316449,-3.845313408316449,-0.084
15.999239891113868,15.999239891113868,-3.8528923151244783,-3.8528923151244783,-0.08
15.910944882584879,15.910944882584879,-3.859780630945457,-3.859780630945457,-0.076
15.826388626487063,15.826388626487063,-3.866038983475237,-3.866038983475237,-0.07200000000000001
15.745247532153302,15.745247532153302,-3.8717199492400036,-3.8717199492400036,-0.068
15.66723979850595,15.66723979850595,-3.8768694609121734,-3.8768694609121734,-0.064
15.592118373175323,15.592118373175323,-3.881527912981291,-3.881527912981291,-0.06
15.51966537233543,15.51966537233543,-3.885731041856446,-3.885731041856446,-0.056
15.449687606704007,15.449687606704007,-3.8895106346923276,-3.8895106346923276,-0.052000000000000005
15.382012959701214,15.382012959701214,-3.8928951062506165,-3.8928951062506165,-0.048
15.316487143796884,15.316487143796884,-3.8959099854675943,-3.8959099854675943,-0.044
15.252970730750674,15.252970730750674,-3.8985783234097737,-3.8985783234097737,-0.04
15.191338552466481,15.191338552466481,-3.9009209541954317,-3.9009209541954317,-0.036000000000000004
15.131477435057306,15.131477435057306,-3.9029568030442054,-3.9029568030442054,-0.032
15.07328442409611,15.07328442409611,-3.904703132327172,-3.904703132327172,-0.028
15.016664180702744,15.016664180702744,-3.906175768528423,-3.906175768528423,-0.024
14.961530860035463,14.961530860035463,-3.907389182581461,-3.907389182581461,-0.02
14.90780619132449,14.90780619132449,-3.908356682458679,-3.908356682458679,-0.016
14.85541625736199,14.85541625736199,-3.909090575352158,-3.909090575352158,-0.012
14.80429411563607,14.80429411563607,-3.9096022077160164,-3.9096022077160164,-0.008
14.754378730884188,14.754378730884188,-3.9099020914994327,-3.9099020914994327,-0.004
14.705659498240143,14.705659498240143,-3.9100000003789037,-3.9100000003789037,-4e-06
14.705611290919476,14.705611290919476,-3.9100000004753324,-3.9100000004753324,0.0
14.705563078344674,14.705563078344674,-3.9100000003789166,-3.9100000003789166,4e-06
14.657939194718772,14.657939194718772,-3.9099050123185206,-3.9099050123185206,0.004
14.611312837973353,14.611312837973353,-3.9096255957529618,-3.9096255957529618,0.008
14.565685143121641,14.565685143121641,-3.909169644701178,-3.909169644701178,0.012
14.521014408171725,14.521014408171725,-3.9085445667059355,-3.9085445667059355,0.016
14.477258638250163,14.477258638250163,-3.9077572624723644,-3.9077572624723644,0.02
14.434381585188335,14.434381585188335,-3.9068142541041375,-3.9068142541041375,0.024
14.39234651020506,14.39234651020506,-3.9057216184495576,-3.9057216184495576,0.028
14.351121138437742,14.351121138437742,-3.904485121750159,-3.904485121750159,0.032
14.310673453185544,14.310673453185544,-3.903110155904514,-3.903110155904514,0.036000000000000004
14.27097445383434,14.27097445383434,-3.9016018386809215,-3.9016018386809215,0.04
14.23199602750119,14.23199602750119,-3.899964981645316,-3.899964981645316,0.044
14.19371218302876,14.19371218302876,-3.898204152085921,-3.898204152085921,0.048
14.15609783419835,14.15609783419835,-3.896323654956497,-3.896323654956497,0.052000000000000005
14.11912991200588,14.11912991200588,-3.8943275988858495,-3.8943275988858495,0.056
14.082785590704786,14.082785590704786,-3.8922198337110774,-3.8922198337110774,0.06
14.047044622550587,14.047044622550587,-3.8900040914909733,-3.8900040914909733,0.064
14.011885912617782,14.011885912617782,-3.8876838085947205,-3.8876838085947205,0.068
13.97729177633953,13.97729177633953,-3.8852624043515145,-3.8852624043515145,0.07200000000000001
13.94324265142356,13.94324265142356,-3.8827429486435983,-3.8827429486435983,0.076
13.909722892645382,13.909722892645382,-3.8801285814727025,-3.8801285814727025,0.08
13.876714676665218,13.876714676665218,-3.8774220759507285,-3.8774220759507285,0.084
13.84420352199264,13.84420352199264,-3.8746262804514084,-3.8746262804514084,0.088
13.812173966109768,13.812173966109768,-3.8717437787311364,-3.8717437787311364,0.092
13.780611540571181,13.780611540571181,-3.868777065177317,-3.868777065177317,0.096
13.749503558345518,13.749503558345518,-3.8657286324131124,-3.8657286324131124,0.1
13.718835702970468,13.718835702970468,-3.8626006563850366,-3.8626006563850366,0.10400000000000001
13.688596925381109,13.688596925381109,-3.8593954874143748,-3.8593954874143748,0.108
13.658774391597966,13.658774391597966,-3.8561151457506946,-3.8561151457506946,0.112
13.629356740649104,13.629356740649104,-3.8527616676082808,-3.8527616676082808,0.116
13.600333780237793,13.600333780237793,-3.84933708831309,-3.84933708831309,0.12
