Pressure (eV/Angstrom^3),Normalized Volume (V/Vo)
-0.075,1.3751552725268954
-0.0725,1.2976923199417634
-0.07,1.26832675648415
-0.0675,1.2446105282520137
-0.065,1.224216348094644
-0.0625,1.2062486122372855
-0.06,1.1901446568547736
-0.0575,1.1755244962081175
-0.055,1.162117687735934
-0.0525,1.1497256018876976
-0.05,1.1381947037593414
-0.0475,1.1274062648895289
-0.045,1.1172650142873377
-0.0425,1.1076936227194534
-0.04,1.0986283327579285
-0.0375,1.090015785818082
-0.035,1.0818110326958095
-0.0325,1.0739755853403086
-0.03,1.0664764364321015
-0.0275,1.059284834452888
-0.025,1.0523757490933676
-0.0225,1.0457271596683115
-0.02,1.0393195636545363
-0.0175,1.0331356380241807
-0.015,1.0271599178606448
-0.0125,1.0213785387809144
-0.01,1.0157789997289557
-0.0075,1.0103499950341168
-0.005,1.00508126706549
-0.0025,0.9999634908787068
0.0,1.0
0.0025,0.9999634908787068
0.005,0.9949881314766578
0.0075,0.9901473596907916
0.01,0.9854340247381174
0.0125,0.9808415266554363
0.015,0.9763637670165947
0.0175,0.9719951117189972
0.02,0.9677303418216082
0.0225,0.9635646136193264
0.025,0.9594934237019727
0.0275,0.9555125752032313
0.03,0.9516181201716816
0.0325,0.9478063886595083
0.035,0.9440739563803091
0.0375,0.940417614549724
0.04,0.936834305076182
0.0425,0.9333211785531146
0.045,0.9298755762841672
0.0475,0.926494965749637
0.05,0.9231769273427921
0.0525,0.9199192347019881
0.055,0.9167197556205425
0.0575,0.9135764307032191
0.06,0.9104873814102329
0.0625,0.9074507712949952
0.065,0.904464854463492
0.0675,0.9015280289768381
0.07,0.8986386813261522
0.0725,0.895795348938534
0.075,0.8929966171258943
