Pressure (eV/Angstrom^3),Normalized Volume (V/Vo)
-0.075,1.0477161513294662
-0.0725,1.045945279413976
-0.07,1.0441816063686464
-0.0675,1.0424254282388674
-0.065,1.0406770250646893
-0.0625,1.0389366607401553
-0.06,1.0372045829525438
-0.0575,1.0354810232056206
-0.055,1.0337661969397476
-0.0525,1.032060303612099
-0.05,1.0303635269971105
-0.0475,1.0286760354456181
-0.045,1.0269979822121276
-0.0425,1.0253295058260614
-0.04,1.0236707305100787
-0.0375,1.022021766620891
-0.035,1.0203827111273058
-0.0325,1.0187536481030242
-0.03,1.0171346492419815
-0.0275,1.0155257743836505
-0.025,1.0139270720509437
-0.0225,1.0123385799854618
-0.02,1.0107603256940654
-0.0175,1.009192326984359
-0.015,1.00763459250221
-0.0125,1.006087122257628
-0.01,1.0045499081429785
-0.0075,1.0030229344404837
-0.005,1.0015061783155799
-0.0025,0.9999996109101705
0.0,1.0
0.0025,0.9999996109101705
0.005,0.9985031968286688
0.0075,0.9970168923547235
0.01,0.9955406523023408
0.0125,0.9940744251198763
0.015,0.9926181547765028
0.0175,0.9911717811312284
0.02,0.9897352402958277
0.0225,0.9883084649789792
0.025,0.986891384806717
0.0275,0.9854839266340129
0.03,0.9840860148372298
0.0325,0.9826975715815642
0.035,0.9813185170880447
0.0375,0.9799487698629588
0.04,0.9785882469438657
0.0425,0.977236864097368
0.045,0.9758945360224317
0.0475,0.9745611765449582
0.05,0.9732366987782679
0.0525,0.9719210152930658
0.055,0.9706140382652556
0.0575,0.9693156796105705
0.06,0.968025851122421
0.0625,0.9667444645782269
0.065,0.965471431860631
0.0675,0.964206665047857
0.07,0.9629500765123978
0.0725,0.9617015790046392
0.075,0.9604610857228789
