Volume per Atom,Volume per Formula,Binding Potential Energy per Atom,Binding Potential Energy per Formula,Pressure Array
17.719075544268062,17.719075544268062,-10.707093453650883,-10.707093453650883,-0.15
17.640035402173446,17.640035402173446,-10.718752298287974,-10.718752298287974,-0.145
17.562000352699343,17.562000352699343,-10.729872706405121,-10.729872706405121,-0.14
17.484947648029525,17.484947648029525,-10.740467857999406,-10.740467857999406,-0.135
17.40885738549061,17.40885738549061,-10.750550214749376,-10.750550214749376,-0.13
17.333712230155854,17.333712230155854,-10.760131612294451,-10.760131612294451,-0.125
17.259497303857056,17.259497303857056,-10.769223325561025,-10.769223325561025,-0.12
17.1902749910776,17.1902749910776,-10.777364640169878,-10.777364640169878,-0.115
17.131788151891957,17.131788151891957,-10.783944417051806,-10.783944417051806,-0.11
17.073348914522512,17.073348914522512,-10.790226667319544,-10.790226667319544,-0.105
17.01501377225105,17.01501377225105,-10.796206070401531,-10.796206070401531,-0.1
16.956846913252612,16.956846913252612,-10.801877413841577,-10.801877413841577,-0.095
16.89889793048557,16.89889793048557,-10.807237797796898,-10.807237797796898,-0.09
16.841222973056574,16.841222973056574,-10.812284481530053,-10.812284481530053,-0.085
16.783873312815746,16.783873312815746,-10.817015974143299,-10.817015974143299,-0.08
16.7268970537001,16.7268970537001,-10.8214317991532,-10.8214317991532,-0.075
16.670338754851024,16.670338754851024,-10.825532458495264,-10.825532458495264,-0.07
16.6142391494131,16.6142391494131,-10.829319380649292,-10.829319380649292,-0.065
16.5586349582297,16.5586349582297,-10.832794855802792,-10.832794855802792,-0.06
16.50355879510809,16.50355879510809,-10.835961961088845,-10.835961961088845,-0.055
16.449039160612326,16.449039160612326,-10.838824478815924,-10.838824478815924,-0.05
16.39510049148659,16.39510049148659,-10.841386811871807,-10.841386811871807,-0.045
16.341763301552945,16.341763301552945,-10.843653896470679,-10.843653896470679,-0.04
16.289044355603874,16.289044355603874,-10.845631117205219,-10.845631117205219,-0.035
16.23695688651425,16.23695688651425,-10.8473242250247,-10.8473242250247,-0.03
16.185510841402955,16.185510841402955,-10.848739259836591,-10.848739259836591,-0.025
16.13471314585911,16.13471314585911,-10.849882478852564,-10.849882478852564,-0.02
16.084567976671536,16.084567976671536,-10.85076029138673,-10.85076029138673,-0.015
16.03507703735621,16.03507703735621,-10.8513792004347,-10.8513792004347,-0.01
15.986239828071682,15.986239828071682,-10.851745751181317,-10.851745751181317,-0.005
15.938053973784386,15.938053973784386,-10.851866486276354,-10.851866486276354,0.0
15.890515344985095,15.890515344985095,-10.85174790864485,-10.85174790864485,0.005
15.843618124699722,15.843618124699722,-10.851396446180598,-10.851396446180598,0.01
15.797355609598583,15.797355609598583,-10.850818428341999,-10.850818428341999,0.015
15.751719903736992,15.751719903736992,-10.850020063602258,-10.850020063602258,0.02
15.706702240725981,15.706702240725981,-10.849007422481124,-10.849007422481124,0.025
15.662293145335369,15.662293145335369,-10.84778642457346,-10.84778642457346,0.03
15.618482577040176,15.618482577040176,-10.846362829030298,-10.846362829030298,0.035
15.575260058628501,15.575260058628501,-10.84474222806897,-10.84474222806897,0.04
15.532614788266603,15.532614788266603,-10.842930042996418,-10.842930042996418,0.045
15.490535738185619,15.490535738185619,-10.840931522398401,-10.840931522398401,0.05
15.449011740088135,15.449011740088135,-10.83875174209954,-10.83875174209954,0.055
15.408031558898575,15.408031558898575,-10.836395606588603,-10.836395606588603,0.06
15.367583956076826,15.367583956076826,-10.833867851636244,-10.833867851636244,0.065
15.327657742594091,15.327657742594091,-10.831173047797233,-10.831173047797233,0.07
15.288241825024281,15.288241825024281,-10.828315604739219,-10.828315604739219,0.075
15.249325242344177,15.249325242344177,-10.825299776004403,-10.825299776004403,0.08
15.210897197290551,15.210897197290551,-10.82212966424137,-10.82212966424137,0.085
15.172947081502297,15.172947081502297,-10.81880922667811,-10.81880922667811,0.09
15.135464495618935,15.135464495618935,-10.815342280757031,-10.815342280757031,0.095
15.098439265161836,15.098439265161836,-10.811732509861844,-10.811732509861844,0.1
15.061861452392868,15.061861452392868,-10.807983469029685,-10.807983469029685,0.105
15.025721364529224,15.025721364529224,-10.804098590566886,-10.804098590566886,0.11
14.990009560330595,14.990009560330595,-10.800081189688271,-10.800081189688271,0.115
14.954716853014897,14.954716853014897,-10.795934469890494,-10.795934469890494,0.12
14.919834311349332,14.919834311349332,-10.791661528173055,-10.791661528173055,0.125
14.885353260156378,14.885353260156378,-10.787265360213606,-10.787265360213606,0.13
14.851265277500824,14.851265277500824,-10.78274886511588,-10.78274886511588,0.135
14.817562192526673,14.817562192526673,-10.778114850176287,-10.778114850176287,0.14
14.784236080883822,14.784236080883822,-10.773366035253794,-10.773366035253794,0.145
14.751279260264637,14.751279260264637,-10.768505057040983,-10.768505057040983,0.15
