Volume per Atom,Volume per Formula,Binding Potential Energy per Atom,Binding Potential Energy per Formula,Pressure Array
16.896069544789675,16.896069544789675,-3.358193301186351,-3.358193301186351,-0.01
16.877309199627867,16.877309199627867,-3.3583762195396365,-3.3583762195396365,-0.0095
16.858667688131174,16.858667688131174,-3.3585486584368898,-3.3585486584368898,-0.009000000000000001
16.840143301492294,16.840143301492294,-3.358710751665532,-3.358710751665532,-0.0085
16.82173437054469,16.82173437054469,-3.358862630122564,-3.358862630122564,-0.008
16.803439624299557,16.803439624299557,-3.3590044191492106,-3.3590044191492106,-0.0075
16.78525791176712,16.78525791176712,-3.359136241241896,-3.359136241241896,-0.007
16.76718765037983,16.76718765037983,-3.359258220117768,-3.359258220117768,-0.006500000000000001
16.749220159877396,16.749220159877396,-3.3593705196976202,-3.3593705196976202,-0.006
16.731375326489896,16.731375326489896,-3.359473130194388,-3.359473130194388,-0.0055
16.71363075551801,16.71363075551801,-3.359566293647873,-3.359566293647873,-0.005
16.695992395020145,16.695992395020145,-3.3596500802554163,-3.3596500802554163,-0.0045000000000000005
16.678458805230083,16.678458805230083,-3.3597246023478955,-3.3597246023478955,-0.004
16.66102858205771,16.66102858205771,-3.3597899699640728,-3.3597899699640728,-0.0035
16.64370035343917,16.64370035343917,-3.3598462909346853,-3.3598462909346853,-0.003
16.626473259775594,16.626473259775594,-3.3598936696406243,-3.3598936696406243,-0.0025
16.60934618450641,16.60934618450641,-3.359932209703071,-3.359932209703071,-0.002
16.59231780812464,16.59231780812464,-3.35996201344931,-3.35996201344931,-0.0015
16.575386854805025,16.575386854805025,-3.3599831811741367,-3.3599831811741367,-0.001
16.55855206860823,16.55855206860823,-3.3599958112471824,-3.3599958112471824,-0.0005
16.54181265176587,16.54181265176587,-3.3600000000601202,-3.3600000000601202,0.0
16.525167615930837,16.525167615930837,-3.3599958427092043,-3.3599958427092043,0.0005
16.50861575864717,16.50861575864717,-3.359983432674555,-3.359983432674555,0.001
16.49215590119852,16.49215590119852,-3.359962861662467,-3.359962861662467,0.0015
16.475786888651037,16.475786888651037,-3.3599342196526085,-3.3599342196526085,0.002
16.459507901092856,16.459507901092856,-3.359897595672665,-3.359897595672665,0.0025
16.443318148165783,16.443318148165783,-3.3598530775476063,-3.3598530775476063,0.003
16.427216525178444,16.427216525178444,-3.3598007509227985,-3.3598007509227985,0.0035
16.411201948794982,16.411201948794982,-3.3597406998665673,-3.3597406998665673,0.004
16.395273357363674,16.395273357363674,-3.3596730069143166,-3.3596730069143166,0.0045000000000000005
16.37942984553035,16.37942984553035,-3.3595977537702812,-3.3595977537702812,0.005
16.363670822687833,16.363670822687833,-3.359515022401174,-3.359515022401174,0.0055
16.347995304199863,16.347995304199863,-3.3594248916286396,-3.3594248916286396,0.006
16.332402291851636,16.332402291851636,-3.359327438718973,-3.359327438718973,0.006500000000000001
16.316890806676742,16.316890806676742,-3.3592227395711114,-3.3592227395711114,0.007
16.301459901755916,16.301459901755916,-3.3591108688507174,-3.3591108688507174,0.0075
16.286109015880164,16.286109015880164,-3.358991902807152,-3.358991902807152,0.008
16.270837385569152,16.270837385569152,-3.358865915140229,-3.358865915140229,0.0085
16.255644088598576,16.255644088598576,-3.3587329770367944,-3.3587329770367944,0.009000000000000001
16.24054556395971,16.24054556395971,-3.3585933232226113,-3.3585933232226113,0.0095
16.22550409629907,16.22550409629907,-3.3584466802223987,-3.3584466802223987,0.01
