Volume per Atom,Volume per Formula,Binding Potential Energy per Atom,Binding Potential Energy per Formula,Pressure Array
15.651007635115652,15.651007635115652,-3.896712029370961,-3.896712029370961,-0.15
15.19043932959786,15.19043932959786,-3.964700736260035,-3.964700736260035,-0.145
14.838927665262709,14.838927665262709,-4.0148277627972275,-4.0148277627972275,-0.14
14.556370993898925,14.556370993898925,-4.05370149046059,-4.05370149046059,-0.135
14.317761203986224,14.317761203986224,-4.085332320018722,-4.085332320018722,-0.13
14.110031482797115,14.110031482797115,-4.111828830860358,-4.111828830860358,-0.125
13.925405827103683,13.925405827103683,-4.134453894450248,-4.134453894450248,-0.12
13.758828399019938,13.758828399019938,-4.154033443416561,-4.154033443416561,-0.115
13.606804871372026,13.606804871372026,-4.171141569838725,-4.171141569838725,-0.11
13.466804381954123,13.466804381954123,-4.186196198866746,-4.186196198866746,-0.105
13.336921525850457,13.336921525850457,-4.199513058358025,-4.199513058358025,-0.1
13.215710856577292,13.215710856577292,-4.211334413808572,-4.211334413808572,-0.095
13.102003427477594,13.102003427477594,-4.22185524738483,-4.22185524738483,-0.09
12.994877862363165,12.994877862363165,-4.231231308568601,-4.231231308568601,-0.085
12.893548858945223,12.893548858945223,-4.2395932459084955,-4.2395932459084955,-0.08
12.797406372820255,12.797406372820255,-4.247046327950897,-4.247046327950897,-0.075
12.705913631460142,12.705913631460142,-4.253681389038348,-4.253681389038348,-0.07
12.61861981441199,12.61861981441199,-4.259575387190522,-4.259575387190522,-0.065
12.535139011346216,12.535139011346216,-4.264794454354591,-4.264794454354591,-0.06
12.455137917101586,12.455137917101586,-4.26939590472073,-4.26939590472073,-0.055
12.378326608186521,12.378326608186521,-4.273429772494759,-4.273429772494759,-0.05
12.304450876366515,12.304450876366515,-4.276940044301425,-4.276940044301425,-0.045
12.233286582328885,12.233286582328885,-4.279965613502759,-4.279965613502759,-0.04
12.164635085191836,12.164635085191836,-4.28254105337417,-4.28254105337417,-0.035
12.0983194374295,12.0983194374295,-4.284697251243675,-4.284697251243675,-0.03
12.034176021285187,12.034176021285187,-4.286462059569604,-4.286462059569604,-0.025
11.972077776758763,11.972077776758763,-4.287860078308032,-4.287860078308032,-0.02
11.911880787985451,11.911880787985451,-4.288914295453515,-4.288914295453515,-0.015
11.853473820616616,11.853473820616616,-4.289645105448918,-4.289645105448918,-0.01
11.796751177679681,11.796751177679681,-4.290071205335382,-4.290071205335382,-0.005
11.741616665839736,11.741616665839736,-4.290209683563249,-4.290209683563249,0.0
11.6879818006345,11.6879818006345,-4.2900762046740715,-4.2900762046740715,0.005
11.635765244919106,11.635765244919106,-4.289685156786611,-4.289685156786611,0.01
11.584893029614607,11.584893029614607,-4.289049799676961,-4.289049799676961,0.015
11.535296974379827,11.535296974379827,-4.288182387134821,-4.288182387134821,0.02
11.486913192239639,11.486913192239639,-4.287094246231041,-4.287094246231041,0.025
11.439682986929341,11.439682986929341,-4.2857958855267,-4.2857958855267,0.03
11.39355254921096,11.39355254921096,-4.28429709377287,-4.28429709377287,0.035
11.348471042905205,11.348471042905205,-4.282606965458047,-4.282606965458047,0.04
11.30439106195539,11.30439106195539,-4.280733975063901,-4.280733975063901,0.045
11.261269345644012,11.261269345644012,-4.278686084440073,-4.278686084440073,0.05
11.21906425078296,11.21906425078296,-4.27647069203948,-4.27647069203948,0.055
11.177737574836913,11.177737574836913,-4.274094766742365,-4.274094766742365,0.06
11.13725370435608,11.13725370435608,-4.271564869618289,-4.271564869618289,0.065
11.09757799099917,11.09757799099917,-4.268887089954481,-4.268887089954481,0.07
11.058679649353932,11.058679649353932,-4.266067277903085,-4.266067277903085,0.075
11.02052795674743,11.02052795674743,-4.2631108282793475,-4.2631108282793475,0.08
10.983095129169874,10.983095129169874,-4.260022913980123,-4.260022913980123,0.085
10.946354691834397,10.946354691834397,-4.256808409824927,-4.256808409824927,0.09
10.910281049578131,10.910281049578131,-4.2534718711460995,-4.2534718711460995,0.095
10.874851085927384,10.874851085927384,-4.2500177137285755,-4.2500177137285755,0.1
10.84004163217459,10.84004163217459,-4.246449999269398,-4.246449999269398,0.105
10.80583204867787,10.80583204867787,-4.2427727153019354,-4.2427727153019354,0.11
10.772201420264993,10.772201420264993,-4.238989507282011,-4.238989507282011,0.115
10.739131269772802,10.739131269772802,-4.235103994893573,-4.235103994893573,0.12
10.70660256838404,10.70660256838404,-4.231119451361776,-4.231119451361776,0.125
10.674598796096708,10.674598796096708,-4.227039186206054,-4.227039186206054,0.13
10.643102548681258,10.643102548681258,-4.222866141956913,-4.222866141956913,0.135
10.612098948316534,10.612098948316534,-4.218603349582376,-4.218603349582376,0.14
10.581572161467712,10.581572161467712,-4.21425347841177,-4.21425347841177,0.145
10.551508545459514,10.551508545459514,-4.209819285812989,-4.209819285812989,0.15
