Pressure (eV/Angstrom^3),Normalized Volume (V/Vo)
-0.075,1.0769093264833551
-0.0725,1.073417099453285
-0.07,1.0700117278451413
-0.0675,1.0666886108670413
-0.065,1.0634437340383451
-0.0625,1.0602732082230895
-0.06,1.0571735289435586
-0.0575,1.05414145004347
-0.055,1.0511738573843863
-0.0525,1.048268006881074
-0.05,1.045421144756151
-0.0475,1.042630910058959
-0.045,1.0398948707293483
-0.0425,1.0372109684156186
-0.04,1.0345770543855481
-0.0375,1.0319913093448794
-0.035,1.0294518438952895
-0.0325,1.0269570132423844
-0.03,1.0245051854357654
-0.0275,1.0220948191176333
-0.025,1.0197245383274993
-0.0225,1.0173928852039558
-0.02,1.0150986820140526
-0.0175,1.0128405925137898
-0.015,1.010617535216843
-0.0125,1.008428371458523
-0.01,1.0062720055117125
-0.0075,1.0041475233870119
-0.005,1.0020538654541338
-0.0025,0.9999901974044236
0.0,1.0
0.0025,0.9999901974044236
0.005,0.9979556320497166
0.0075,0.9959492609658468
0.01,0.9939703933918612
0.0125,0.9920181967459953
0.015,0.9900919325694046
0.0175,0.988190970277267
0.02,0.986314557527592
0.0225,0.9844620821300947
0.025,0.9826329602990748
0.0275,0.9808265229305618
0.03,0.979042247181643
0.0325,0.9772796015781522
0.035,0.9755379903549137
0.0375,0.9738169488090307
0.04,0.9721160082967123
0.0425,0.9704346354261519
0.045,0.9687723972189439
0.0475,0.9671288964660272
0.05,0.9655036537423968
0.0525,0.9638962513692823
0.055,0.9623063592728262
0.0575,0.960733550698767
0.06,0.9591774210348938
0.0625,0.9576376815428292
0.065,0.9561139681162862
0.0675,0.9546059024498722
0.07,0.9531131853424142
0.0725,0.9516355387038283
0.075,0.9501726175756895
